 ◦ 2022년 학교안전사고 발생건수(시간),,,,,,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,,,,,
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,학교행사,,등하교,,특별활동,,기타,,석식시간,,기숙사생활,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
경기,기타,37,37.00%,21,21.00%,14,14.00%,10,10.00%,8,8.00%,6,6.00%,1,1.00%,  ,0.00%,2,2.00%,1,1.00%,100,100.00%
경기,소계,"19,426",40.20%,"9,542",19.70%,"5,423",11.20%,"6,306",13.00%,"2,456",5.10%,"2,317",4.80%,"1,377",2.80%,"1,316",2.70%,116,0.20%,91,0.20%,"48,370",100.00%
강원,유,28,10.60%,18,6.80%,130,49.10%,22,8.30%,9,3.40%,10,3.80%,  ,0.00%,48,18.10%,  ,0.00%,  ,0.00%,265,100.00%
강원,초,547,26.20%,530,25.30%,314,15.00%,262,12.50%,110,5.30%,179,8.60%,64,3.10%,83,4.00%,  ,0.00%,2,0.10%,"2,091",100.00%
강원,중,747,44.80%,253,15.20%,126,7.60%,193,11.60%,130,7.80%,40,2.40%,141,8.50%,32,1.90%,4,0.20%,1,0.10%,"1,667",100.00%
강원,고,362,36.80%,128,13.00%,94,9.50%,64,6.50%,166,16.90%,23,2.30%,86,8.70%,27,2.70%,12,1.20%,23,2.30%,985,100.00%
강원,특수,  ,0.00%,3,30.00%,3,30.00%,1,10.00%,1,10.00%,  ,0.00%,  ,0.00%,1,10.00%,  ,0.00%,1,10.00%,10,100.00%
강원,기타,1,  ,  ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,0.00%
강원,소계,"1,685",33.60%,932,18.60%,667,13.30%,542,10.80%,418,8.30%,252,5.00%,291,5.80%,191,3.80%,16,0.30%,27,0.50%,"5,021",100.00%
충북,유,16,6.70%,13,5.40%,113,47.30%,12,5.00%,6,2.50%,16,6.70%,1,0.40%,62,25.90%,  ,0.00%,  ,0.00%,239,100.00%
충북,초,456,30.90%,306,20.70%,222,15.10%,218,14.80%,60,4.10%,95,6.40%,54,3.70%,64,4.30%,  ,0.00%,  ,0.00%,"1,475",100.00%
충북,중,632,43.50%,250,17.20%,90,6.20%,186,12.80%,104,7.20%,40,2.80%,116,8.00%,26,1.80%,1,0.10%,8,0.60%,"1,453",100.00%
충북,고,220,31.30%,94,13.40%,65,9.20%,52,7.40%,156,22.20%,19,2.70%,53,7.50%,11,1.60%,13,1.80%,20,2.80%,703,100.00%
충북,특수,5,17.20%,4,13.80%,11,37.90%,4,13.80%,  ,0.00%,1,3.40%,1,3.40%,3,10.30%,  ,0.00%,  ,0.00%,29,100.00%
충북,기타,5,45.50%,  ,0.00%,  ,0.00%,2,18.20%,2,18.20%,  ,0.00%,  ,0.00%,1,9.10%,  ,0.00%,1,9.10%,11,100.00%
충북,소계,"1,334",34.10%,667,17.10%,501,12.80%,474,12.10%,328,8.40%,171,4.40%,225,5.80%,167,4.30%,14,0.40%,29,0.70%,"3,910",100.00%
충남,유,31,8.40%,27,7.30%,181,48.80%,11,3.00%,12,3.20%,26,7.00%,  ,0.00%,83,22.40%,  ,0.00%,  ,0.00%,371,100.00%
충남,초,703,31.00%,630,27.80%,291,12.80%,284,12.50%,93,4.10%,129,5.70%,78,3.40%,57,2.50%,  ,0.00%,  ,0.00%,"2,265",100.00%
충남,중,828,43.40%,378,19.80%,112,5.90%,208,10.90%,109,5.70%,56,2.90%,154,8.10%,59,3.10%,1,0.10%,3,0.20%,"1,908",100.00%
충남,고,378,32.20%,157,13.40%,123,10.50%,85,7.20%,183,15.60%,31,2.60%,84,7.10%,40,3.40%,29,2.50%,65,5.50%,"1,175",100.00%
충남,특수,6,21.40%,6,21.40%,8,28.60%,5,17.90%,1,3.60%,  ,0.00%,  ,0.00%,2,7.10%,  ,0.00%,  ,0.00%,28,100.00%
충남,기타,1,25.00%,  ,0.00%,  ,0.00%,  ,0.00%,2,50.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,25.00%,4,100.00%
충남,소계,"1,947",33.90%,"1,198",20.80%,715,12.40%,593,10.30%,400,7.00%,242,4.20%,316,5.50%,241,4.20%,30,0.50%,69,1.20%,"5,751",100.00%
전북,유,40,9.70%,29,7.00%,202,48.80%,23,5.60%,35,8.50%,21,5.10%,  ,0.00%,63,15.20%,1,0.20%,  ,0.00%,414,100.00%
전북,초,544,26.70%,462,22.70%,356,17.50%,333,16.30%,91,4.50%,156,7.70%,40,2.00%,56,2.70%,  ,0.00%,  ,0.00%,"2,038",100.00%
전북,중,647,38.00%,336,19.70%,109,6.40%,232,13.60%,145,8.50%,49,2.90%,128,7.50%,52,3.10%,1,0.10%,4,0.20%,"1,703",100.00%
전북,고,364,32.40%,148,13.20%,113,10.10%,81,7.20%,189,16.80%,48,4.30%,72,6.40%,26,2.30%,24,2.10%,59,5.20%,"1,124",100.00%
전북,특수,  ,0.00%,6,35.30%,4,23.50%,3,17.60%,1,5.90%,3,17.60%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,17,100.00%
전북,기타,2,28.60%,  ,0.00%,1,14.30%,2,28.60%,1,14.30%,1,14.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,7,100.00%
전북,소계,"1,597",30.10%,981,18.50%,785,14.80%,674,12.70%,462,8.70%,278,5.20%,240,4.50%,197,3.70%,26,0.50%,63,1.20%,"5,303",100.00%
전남,유,28,17.30%,16,9.90%,75,46.30%,13,8.00%,4,2.50%,11,6.80%,1,0.60%,14,8.60%,  ,0.00%,  ,0.00%,162,100.00%
전남,초,358,28.30%,267,21.10%,172,13.60%,280,22.10%,73,5.80%,51,4.00%,34,2.70%,31,2.40%,  ,0.00%,  ,0.00%,"1,266",100.00%
전남,중,475,43.80%,183,16.90%,65,6.00%,126,11.60%,105,9.70%,28,2.60%,64,5.90%,35,3.20%,  ,0.00%,4,0.40%,"1,085",100.00%
전남,고,222,32.00%,119,17.20%,58,8.40%,65,9.40%,121,17.50%,20,2.90%,36,5.20%,18,2.60%,16,2.30%,18,2.60%,693,100.00%
전남,특수,1,33.30%,  ,0.00%,1,33.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,33.30%,3,100.00%
전남,기타,1,20.00%,  ,0.00%,1,20.00%,2,40.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,1,20.00%,5,100.00%
전남,소계,"1,085",33.80%,585,18.20%,372,11.60%,486,15.10%,303,9.40%,110,3.40%,135,4.20%,98,3.00%,16,0.50%,24,0.70%,"3,214",100.00%
경북,유,43,10.70%,34,8.50%,190,47.30%,27,6.70%,20,5.00%,13,3.20%,  ,0.00%,75,18.70%,  ,0.00%,  ,0.00%,402,100.00%
경북,초,579,28.30%,452,22.10%,297,14.50%,349,17.00%,91,4.40%,152,7.40%,65,3.20%,63,3.10%,  ,0.00%,  ,0.00%,"2,048",100.00%
경북,중,848,47.00%,279,15.50%,139,7.70%,204,11.30%,130,7.20%,53,2.90%,120,6.70%,30,1.70%,1,0.10%,  ,0.00%,"1,804",100.00%
경북,고,395,32.80%,152,12.60%,135,11.20%,105,8.70%,160,13.30%,49,4.10%,74,6.10%,33,2.70%,52,4.30%,50,4.10%,"1,205",100.00%
경북,특수,8,36.40%,2,9.10%,5,22.70%,4,18.20%,1,4.50%,1,4.50%,  ,0.00%,  ,0.00%,  ,0.00%,1,4.50%,22,100.00%
경북,기타,12,31.60%,3,7.90%,2,5.30%,2,5.30%,9,23.70%,1,2.60%,3,7.90%,  ,0.00%,2,5.30%,4,10.50%,38,100.00%
경북,소계,"1,885",34.20%,922,16.70%,768,13.90%,691,12.50%,411,7.40%,269,4.90%,262,4.70%,201,3.60%,55,1.00%,55,1.00%,"5,519",100.00%
경남,유,43,6.80%,53,8.30%,289,45.50%,45,7.10%,19,3.00%,38,6.00%,  ,0.00%,147,23.10%,1,0.20%,  ,0.00%,635,100.00%
경남,초,953,28.50%,858,25.70%,435,13.00%,572,17.10%,127,3.80%,244,7.30%,58,1.70%,95,2.80%,  ,0.00%,  ,0.00%,"3,342",100.00%
