 ◦ 2022년 학교안전사고 발생건수(사고당시활동),,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,
지역,"학교
급별",구기운동,,보행/주행,,기타*,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
경북,고,613,50.90%,164,13.60%,167,13.90%,37,3.10%,88,7.30%,62,5.10%,13,1.10%,61,5.10%,"1,205",100.00%
경북,특수,3,13.60%,3,13.60%,10,45.50%,1,4.50%,1,4.50%,3,13.60%,1,4.50%,  ,0.00%,22,100.00%
경북,기타,24,63.20%,5,13.20%,2,5.30%,2,5.30%,3,7.90%,1,2.60%,  ,0.00%,1,2.60%,38,100.00%
경북,소계,"2,177",39.40%,870,15.80%,773,14.00%,831,15.10%,389,7.00%,252,4.60%,106,1.90%,121,2.20%,"5,519",100.00%
경남,유,4,0.60%,98,15.40%,200,31.50%,230,36.20%,17,2.70%,58,9.10%,26,4.10%,2,0.30%,635,100.00%
경남,초,805,24.10%,755,22.60%,441,13.20%,763,22.80%,256,7.70%,163,4.90%,114,3.40%,45,1.30%,"3,342",100.00%
경남,중,"1,706",54.50%,386,12.30%,408,13.00%,301,9.60%,157,5.00%,104,3.30%,30,1.00%,40,1.30%,"3,132",100.00%
경남,고,894,54.70%,246,15.00%,203,12.40%,54,3.30%,92,5.60%,59,3.60%,10,0.60%,77,4.70%,"1,635",100.00%
경남,특수,1,4.00%,11,44.00%,3,12.00%,3,12.00%,2,8.00%,3,12.00%,1,4.00%,1,4.00%,25,100.00%
경남,기타,6,28.60%,4,19.00%,5,23.80%,1,4.80%,1,4.80%,2,9.50%,  ,0.00%,2,9.50%,21,100.00%
경남,소계,"3,416",38.90%,"1,500",17.10%,"1,260",14.30%,"1,352",15.40%,525,6.00%,389,4.40%,181,2.10%,167,1.90%,"8,790",100.00%
제주,유,3,2.10%,19,13.40%,42,29.60%,64,45.10%,4,2.80%,7,4.90%,2,1.40%,1,0.70%,142,100.00%
제주,초,399,32.00%,210,16.80%,217,17.40%,242,19.40%,74,5.90%,56,4.50%,33,2.60%,17,1.40%,"1,248",100.00%
제주,중,663,60.10%,106,9.60%,170,15.40%,76,6.90%,54,4.90%,27,2.40%,2,0.20%,5,0.50%,"1,103",100.00%
제주,고,413,67.60%,57,9.30%,84,13.70%,7,1.10%,19,3.10%,9,1.50%,2,0.30%,20,3.30%,611,100.00%
제주,특수,1,20.00%,1,20.00%,1,20.00%,  ,0.00%,1,20.00%,1,20.00%,  ,0.00%,  ,0.00%,5,100.00%
제주,기타,  ,0.00%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
제주,소계,"1,479",47.60%,393,12.60%,514,16.50%,389,12.50%,152,4.90%,100,3.20%,39,1.30%,43,1.40%,"3,109",100.00%
"* 기타 : 싸움, 탑승/승선/자전거타기(운전), 기타 포함 ",,,,,,,,,,,,,,,,,,,
