 ◦ 2021년 학교안전사고 발생현황(사고당시행동),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",구기운동,,기타*,,보행/주행,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
전남,특수,1,11.10%,3,33.30%,1,11.10%,  ,0.00%,  ,0.00%,2,22.20%,1,11.10%,1,11.10%,9,100.00%
전남,기타,3,50.00%,  ,0.00%,2,33.30%,  ,0.00%,  ,0.00%,1,16.70%,  ,0.00%,  ,0.00%,6,100.00%
전남,소계,"1,071",38.30%,465,16.60%,416,14.90%,379,13.60%,197,7.10%,145,5.20%,65,2.30%,55,2.00%,"2,793",100.00%
경북,유,6,1.30%,107,22.90%,80,17.10%,194,41.50%,12,2.60%,48,10.30%,18,3.90%,2,0.40%,467,100.00%
경북,초,429,26.40%,258,15.90%,342,21.00%,302,18.60%,148,9.10%,81,5.00%,41,2.50%,25,1.50%,"1,626",100.00%
경북,중,883,57.00%,192,12.40%,188,12.10%,116,7.50%,66,4.30%,63,4.10%,16,1.00%,25,1.60%,"1,549",100.00%
경북,고,578,53.10%,126,11.60%,158,14.50%,53,4.90%,55,5.10%,47,4.30%,18,1.70%,54,5.00%,"1,089",100.00%
경북,특수,2,9.50%,4,19.00%,5,23.80%,5,23.80%,1,4.80%,3,14.30%,1,4.80%,  ,0.00%,21,100.00%
경북,기타,21,60.00%,2,5.70%,7,20.00%,2,5.70%,2,5.70%,  ,0.00%,  ,0.00%,1,2.90%,35,100.00%
경북,소계,"1,919",40.10%,689,14.40%,780,16.30%,672,14.00%,284,5.90%,242,5.10%,94,2.00%,107,2.20%,"4,787",100.00%
경남,유,15,2.10%,205,29.00%,85,12.00%,299,42.30%,19,2.70%,56,7.90%,26,3.70%,2,0.30%,707,100.00%
경남,초,494,22.00%,383,17.10%,514,22.90%,412,18.40%,186,8.30%,121,5.40%,95,4.20%,37,1.70%,"2,242",100.00%
경남,중,"1,234",52.60%,330,14.10%,338,14.40%,208,8.90%,102,4.30%,69,2.90%,20,0.90%,44,1.90%,"2,345",100.00%
경남,고,680,55.40%,119,9.70%,208,17.00%,51,4.20%,44,3.60%,47,3.80%,15,1.20%,63,5.10%,"1,227",100.00%
경남,특수,2,10.50%,4,21.10%,5,26.30%,5,26.30%,  ,0.00%,1,5.30%,1,5.30%,1,5.30%,19,100.00%
