 ◦ 2021년 학교안전사고 발생현황(시간),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,등하교,,특별활동,,기타,,학교행사,,기숙사생활,,석식시간,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
경기,특수,18,18.00%,16,16.00%,33,33.00%,12,12.00%,9,9.00%,4,4.00%,7,7.00%,  ,0.00%,1,1.00%,  ,0.00%,100,100.00%
경기,기타,18,36.70%,17,34.70%,5,10.20%,6,12.20%,  ,0.00%,2,4.10%,  ,0.00%,  ,0.00%,1,2.00%,  ,0.00%,49,100.00%
경기,소계,"9,965",43.90%,"3,439",15.10%,"3,219",14.20%,"2,501",11.00%,"1,292",5.70%,888,3.90%,784,3.50%,491,2.20%,69,0.30%,60,0.30%,"22,708",100.00%
강원,유,25,11.80%,18,8.50%,91,42.90%,8,3.80%,12,5.70%,  ,0.00%,51,24.10%,7,3.30%,  ,0.00%,  ,0.00%,212,100.00%
강원,초,541,31.70%,369,21.60%,258,15.10%,230,13.50%,146,8.60%,69,4.00%,50,2.90%,43,2.50%,1,0.10%,  ,0.00%,"1,707",100.00%
강원,중,664,47.50%,226,16.20%,94,6.70%,158,11.30%,40,2.90%,119,8.50%,43,3.10%,52,3.70%,1,0.10%,  ,0.00%,"1,397",100.00%
강원,고,346,39.20%,119,13.50%,85,9.60%,64,7.20%,26,2.90%,114,12.90%,20,2.30%,67,7.60%,33,3.70%,9,1.00%,883,100.00%
강원,특수,1,9.10%,  ,0.00%,5,45.50%,1,9.10%,2,18.20%,  ,0.00%,2,18.20%,  ,0.00%,  ,0.00%,  ,0.00%,11,100.00%
강원,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
강원,소계,"1,577",37.50%,732,17.40%,533,12.70%,461,11.00%,226,5.40%,302,7.20%,166,3.90%,169,4.00%,35,0.80%,9,0.20%,"4,210",100.00%
충북,유,19,8.60%,14,6.30%,114,51.40%,13,5.90%,10,4.50%,  ,0.00%,48,21.60%,4,1.80%,  ,0.00%,  ,0.00%,222,100.00%
충북,초,431,38.80%,188,16.90%,199,17.90%,141,12.70%,80,7.20%,33,3.00%,29,2.60%,11,1.00%,  ,0.00%,  ,0.00%,"1,112",100.00%
