 ◦ 2020년 학교안전사고 발생현황(장소),,,,,,,,,,,,,
,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",부속시설,,운동장,,교실,,통로,,교외활동,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
전남,초,187,37.30%,131,26.10%,81,16.20%,82,16.40%,20,4.00%,501,100.00%
전남,중,199,41.50%,168,35.10%,39,8.10%,54,11.30%,19,4.00%,479,100.00%
전남,고,147,47.70%,95,30.80%,23,7.50%,29,9.40%,14,4.50%,308,100.00%
전남,특수,1,20.00%,  ,  ,2,40.00%,1,20.00%,1,20.00%,5,100.00%
전남,기타,3,75.00%,1,25.00%,  ,  ,  ,  ,  ,  ,4,100.00%
전남,소계,562,39.60%,420,29.60%,205,14.40%,175,12.30%,58,4.10%,"1,420",100.00%
경북,유,39,12.50%,95,30.40%,147,47.00%,23,7.30%,9,2.90%,313,100.00%
경북,초,274,37.40%,171,23.40%,140,19.10%,114,15.60%,33,4.50%,732,100.00%
경북,중,173,30.50%,239,42.20%,65,11.50%,67,11.80%,23,4.10%,567,100.00%
경북,고,242,35.70%,242,35.70%,86,12.70%,73,10.80%,34,5.00%,677,100.00%
경북,특수,5,35.70%,2,14.30%,4,28.60%,2,14.30%,1,7.10%,14,100.00%
경북,기타,  ,  ,4,57.10%,1,14.30%,1,14.30%,1,14.30%,7,100.00%
경북,소계,733,31.70%,753,32.60%,443,19.20%,280,12.10%,101,4.40%,"2,310",100.00%
경남,유,67,11.30%,171,28.90%,295,49.80%,43,7.30%,16,2.70%,592,100.00%
경남,초,317,32.80%,249,25.80%,191,19.80%,177,18.30%,32,3.30%,966,100.00%
경남,중,314,37.90%,281,33.90%,102,12.30%,107,12.90%,25,3.00%,829,100.00%
경남,고,343,42.10%,242,29.70%,120,14.70%,85,10.40%,25,3.10%,815,100.00%
경남,특수,2,22.20%,2,22.20%,1,11.10%,3,33.30%,1,11.10%,9,100.00%
경남,기타,4,30.80%,3,23.10%,3,23.10%,1,7.70%,2,15.40%,13,100.00%
경남,소계,"1,047",32.50%,948,29.40%,712,22.10%,416,12.90%,101,3.10%,"3,224",100.00%
제주,유,14,14.60%,32,33.30%,43,44.80%,6,6.30%,1,1.00%,96,100.00%
제주,초,171,31.80%,202,37.60%,84,15.60%,74,13.80%,6,1.10%,537,100.00%
제주,중,159,37.70%,191,45.30%,39,9.20%,32,7.60%,1,0.20%,422,100.00%
제주,고,65,34.40%,87,46.00%,9,4.80%,24,12.70%,4,2.10%,189,100.00%
제주,특수,1,9.10%,3,27.30%,4,36.40%,3,27.30%,  ,  ,11,100.00%
제주,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
제주,소계,410,32.70%,515,41.00%,179,14.30%,139,11.10%,12,1.00%,"1,255",100.00%
